user_id,adopt_day,adopt_period,preadopt_client,any_client,country,canada_us,europe,southamerica,perc_ads,georegion,min_period,max_period,min_day,max_day,age,gender_female,tot_plays_main,tot_plays_pre,tot_plays_init,pre_avg_daily_plays,pre_uniq_songs,pre_uniq_artists,pre_uniq_genres,pre_ss_p_stat_20,pre_ss_p_stat_100,pre_ss_p_stat_500,pre_ss_u_stat_20,pre_ss_u_stat_100,pre_ss_u_stat_500,pre_c2_songs,pre_c2_artists,pre_c2_genres,pre_herf_songs,pre_herf_artists,pre_herf_genres,pre_new_artistsp,pre_new_artistsu,pre_multiple_artistsu,pre_no_players,pre_avg_completion,pre_no_listening_days,pre_perc_itunes,pre_session_length,pre_artist_age,pre_client
12,83,12,wawmpfoo+other,spot+wawmpfoo+other,NA,0,0,0,0.096087573,Other,1,65,1,454,24,0,12037,3753,25993,45.21686747,17.98550725,2.811594203,0.666666667,0.049560352,0.153743672,0.296829203,0.4,0.23,0.086,0.025579536,0.168398614,0.399147349,0.002548596,0.032649251,0.133715002,0.066080469,0.407216495,0.701030928,3,0.938505624,69,0,96.56518987,1985.215278,wawmpfoo+other
13,1,1,no_prior_usage,spot+itun+other,NL,0,1,0,0.026472502,Europe,1,66,1,458,21,0,23413,6212,29632,73.95238095,25.11688312,9.415584416,1.857142857,0.096104314,0.181584031,0.417095943,0.5,0.34,0.222,0.021249195,0.130231809,0.363972956,0.002174664,0.016048794,0.09205927,0.119285254,0.256551724,0.586206897,3,0.966643448,77,0,178.2917073,1994.55081,spot+other
14,NA,NA,NA,wawmpfoo,UK,0,1,0,NA,Europe,1,35,2,245,18,0,1046,720,12953,8.888888889,13.05263158,2.368421053,1,0,0,0.108333333,0.05,0.01,0.016,0.055555556,0.151388889,0.333333333,0.004972994,0.026427469,0.08878858,0.256944444,0.388888889,0.7,2,0.976695333,38,0,56.81666667,2002.527778,wawmpfoo+other
15,NA,NA,NA,other,US,1,0,0,NA,Canada/US,11,12,77,78,26,1,16,6,141,6,6,5,4,0,0,0,0.05,0.01,0.002,0.333333333,0.5,0.666666667,0.166666667,0.222222222,0.277777778,0.666666667,0.6,0.2,1,0.973073593,1,0,29.93333333,2003.8,other
16,NA,NA,NA,wawmpfoo+other,ID,0,0,0,NA,Other,1,66,1,457,20,0,9112,4534,6953,53.97619048,8.554054054,1.891891892,0.418918919,0.082267314,0.121085135,0.211733569,0.4,0.11,0.05,0.033965593,0.327966476,0.463828849,0.005156063,0.085322503,0.157549225,0.047640053,0.464285714,0.785714286,3,0.990010143,74,0,115.5191011,1989.984,wawmpfoo+other
17,1,1,no_prior_usage,spot+itun+wawmpfoo,FI,0,1,0,0.006671418,Europe,1,66,1,458,16,0,35113,7784,41319,92.66666667,25.93670886,2.265822785,0.481012658,0.006808839,0.07631038,0.329265159,0.15,0.12,0.07,0.013746146,0.147482014,0.578108941,0.001230817,0.027536688,0.202436461,0.223150051,0.402234637,0.737430168,3,0.937833308,79,0,201.7324675,1995.931818,spot+other
18,130,19,wawmpfoo+other,spot+wawmpfoo+other,BR,0,0,1,0.039552433,South America,1,66,1,458,20,1,11716,1427,14093,16.98809524,12.05555556,3.305555556,0.763888889,0.00840925,0.078486335,0.359495445,0.25,0.14,0.138,0.023125438,0.196215837,0.712683952,0.002188743,0.033576598,0.266850298,0.27259986,0.504201681,0.504201681,3,0.972164794,72,0,62.78651805,1987.475336,wawmpfoo+other
19,NA,NA,NA,other,KZ,0,0,0,NA,Other,2,58,12,405,30,0,1432,237,5664,3.761904762,10,7.047619048,3.047619048,0.008438819,0.088607595,0.168776371,0.1,0.1,0.042,0.037974684,0.092827004,0.261603376,0.005714896,0.013797646,0.059374388,0.58649789,0.743243243,0.216216216,2,0.972199405,21,0,35.69375,2001,other
20,NA,NA,NA,wawmpfoo,IN,0,0,0,NA,Other,1,66,1,457,23,0,7437,1752,16068,20.85714286,14.125,7.166666667,1,0.035388128,0.08847032,0.337328767,0.55,0.31,0.222,0.043378995,0.065068493,0.375570776,0.003002439,0.006975068,0.102437397,0.061643836,0.079457364,0.513565891,3,0.966037557,72,0,44.90758333,1999.545259,wawmpfoo+other
21,1,1,no_prior_usage,spot+wawmpfoo+other,US,1,0,0,0.014110473,Canada/US,1,66,1,457,31,0,25781,6014,27332,71.5952381,46.88888889,2.486111111,0.388888889,0,0.090123046,0.223312271,0.05,0.08,0.054,0.006152311,0.143165946,0.509311606,0.000629614,0.026308141,0.172970695,0.140671766,0.318435754,0.787709497,4,0.986448918,72,0,167.2456522,1994.208589,spot+wawmpfoo+other
22,141,21,itun+other,spot+itun+other,NA,0,0,0,0.025968211,Other,1,66,1,457,24,0,7889,3348,10016,40.3373494,13.74324324,2.540540541,0.445945946,0.017622461,0.168160096,0.326164875,0.4,0.16,0.074,0.031063321,0.178912784,0.614695341,0.003149404,0.036019114,0.290173416,0.120669056,0.234042553,0.680851064,3,0.959626081,74,0.073476703,103.0268775,2000.867816,itun+other
23,36,6,itun+other,spot+itun+wawmpfoo+other,BR,0,0,1,0.042427359,South America,1,66,1,458,17,0,12561,6123,18081,72.89285714,10.32467532,0.701298701,0.155844156,0.273232076,0.892699657,0.982198269,0.6,0.28,0.092,0.049812184,0.335129838,0.695084109,0.005337076,0.099371161,0.330143299,0.012575535,0.166666667,0.925925926,3,0.980500906,77,0.209537808,130.9792531,1999,itun+other
24,NA,NA,NA,wawmpfoo+other,ES,0,1,0,NA,Europe,1,62,1,430,27,1,1102,638,3990,7.595238095,19.30769231,3.692307692,1.384615385,0,0.021943574,0.191222571,0.05,0.03,0.022,0.017241379,0.112852665,0.25862069,0.002451823,0.023348827,0.073407297,0.55015674,0.510416667,0.739583333,2,0.958045464,26,0,93.37927928,1989.623529,wawmpfoo+other
25,NA,NA,NA,other,DE,0,1,0,NA,Europe,1,66,6,457,28,1,10019,1158,5223,13.95180723,24.97674419,14.74418605,2.465116279,0.006908463,0.025043178,0.083765112,0.25,0.16,0.1,0.007772021,0.030224525,0.491364421,0.001033585,0.002877035,0.149960774,0.546632124,0.648264984,0.395899054,2,0.967321928,43,0,101.1036364,1974.366288,other
26,NA,NA,NA,other,HR,0,0,0,NA,Other,1,66,1,456,30,0,7997,3786,25722,45.61445783,34.41333333,2.16,0.373333333,0.019281564,0.119123085,0.380348653,0.1,0.14,0.088,0.006603275,0.072371896,0.533808769,0.000558122,0.015142814,0.196568585,0.087691495,0.24691358,0.907407407,2,0.988490574,75,0,138.5798423,1993.154321,other
27,NA,NA,NA,wawmpfoo+other,TT,0,0,0,NA,Other,1,39,1,272,24,0,884,1048,1048,25.56097561,6.454545455,1.590909091,0.545454545,0,0,0,0.05,0.01,0.002,0.070610687,0.346374046,0.619274809,0.016228658,0.111808752,0.262890784,0.744274809,1,0.857142857,4,0.989641824,22,0,97.70402299,1959.3125,wawmpfoo+other
28,NA,NA,NA,wawmpfoo,GR,0,1,0,NA,Europe,1,7,1,46,21,0,122,1292,7746,17.45945946,7.666666667,2.380952381,0.833333333,0,0,0.008513932,0.05,0.01,0.006,0.135448916,0.237616099,0.582043344,0.020704933,0.054776237,0.199118893,0.409442724,0.63,0.66,2,0.989543323,42,0,83.11560847,2003.347222,wawmpfoo+other
29,45,7,itun+other,spot+itun+other,UK,0,1,0,0.059670782,Europe,2,65,8,453,24,1,3295,610,7457,7.261904762,16.25925926,1.814814815,0.407407407,0,0.37704918,0.436065574,0.05,0.02,0.012,0.062295082,0.447540984,0.867213115,0.005460898,0.164934157,0.655270089,0.149180328,0.387755102,0.530612245,3,0.986035451,27,0.229508197,69.67666667,1981.833333,itun+other
30,NA,NA,NA,itun+wawmpfoo+other,UK,0,1,0,NA,Europe,1,66,1,457,20,0,2924,1950,1952,27.85714286,15.85714286,3.053571429,0.535714286,0.02974359,0.074358974,0.295384615,0.3,0.13,0.082,0.022564103,0.141025641,0.667692308,0.002368442,0.022754504,0.263886391,0.391282051,0.994152047,0.725146199,4,0.978350785,56,0.004102564,103.5280261,1990,itun+other
31,NA,NA,NA,wawmpfoo+other,NA,0,0,0,NA,Other,1,66,1,456,20,1,17819,4229,5233,50.3452381,45.34920635,6.19047619,1.587301587,0.016315914,0.045400804,0.240482384,0.25,0.15,0.112,0.021754552,0.079687869,0.299834476,0.000855995,0.009721802,0.077152817,0.499881769,0.892307692,0.671794872,2,0.981343718,63,0,101.3240464,1981.837535,wawmpfoo+other
32,50,8,wawmpfoo+other,spot+wawmpfoo+other,IR,0,0,0,0.064042695,Other,1,51,1,357,26,0,12900,10945,38902,130.297619,39.14473684,9.986842105,1.394736842,0.017176793,0.087619918,0.2571037,0.55,0.32,0.16,0.018730014,0.146002741,0.405847419,0.001051939,0.020643264,0.117211991,0.132297853,0.471673254,0.699604743,3,0.972244305,76,0,463.8280488,1968.90106,wawmpfoo+other
33,NA,NA,NA,wawmpfoo+other,DK,0,1,0,NA,Europe,1,66,1,458,33,0,15322,3708,20767,44.14285714,23.01408451,1.76056338,0.605633803,0.007281553,0.014023732,0.025350593,0.2,0.05,0.016,0.011057174,0.107335491,0.260517799,0.000979107,0.024886568,0.073532809,0.201725998,0.384,0.912,2,0.989230287,71,0,145.7450658,1929.826087,wawmpfoo+other
34,NA,NA,NA,itun+other,RO,0,1,0,NA,Europe,1,35,1,242,21,1,696,821,10575,9.891566265,8.507692308,2.246153846,0.846153846,0.2545676,0.411693057,0.53593179,0.3,0.18,0.066,0.028014616,0.3727162,0.53593179,0.002835139,0.093019564,0.194764117,0.232643118,0.51369863,0.342465753,3,0.973742801,65,0.065773447,41.29267913,1993.120301,itun+other
35,NA,NA,NA,other,CA,1,0,0,NA,Canada/US,1,10,1,70,21,0,1221,1558,29949,19,35.68181818,2.863636364,0.863636364,0.118741977,0.659178434,0.844672657,0.25,0.23,0.08,0.016688062,0.336970475,0.508344031,0.00277997,0.09572112,0.188438158,0.054557125,0.222222222,0.952380952,2,0.9685929,22,0,215.5791667,2000.761905,other
36,38,6,itun+other,spot+itun+other,US,1,0,0,0.05397962,Canada/US,1,66,1,458,36,0,18842,4145,19772,49.3452381,27.94520548,9.479452055,1.328767123,0.022195416,0.099396864,0.230639324,0.6,0.39,0.244,0.006513872,0.112907117,0.419300362,0.000899888,0.013945093,0.11655818,0.033775633,0.10982659,0.601156069,3,0.923380365,73,0.001930036,131.9461667,1995.087092,itun+other
37,8,2,no_prior_usage,spot+itun,PL,0,1,0,0.032556704,Europe,2,66,8,458,20,0,6576,1791,13965,27.13636364,15.06,6.84,1.8,0.003908431,0.076493579,0.276940257,0.15,0.15,0.12,0.030709101,0.109436069,0.332216639,0.003482578,0.016488236,0.076035928,0.122836404,0.286549708,0.552631579,2,0.962124028,50,0,88.39583333,2003.759375,spot+other
38,403,58,itun+wawmpfoo+other,spot+itun+wawmpfoo+other,PL,0,1,0,0,Europe,1,66,1,458,22,0,10024,2697,19420,32.10714286,23.10526316,1.934210526,0.802631579,0.12309974,0.185020393,0.337411939,0.2,0.08,0.052,0.017055988,0.174638487,0.430107527,0.001039758,0.030250588,0.126566287,0.338895069,0.537414966,0.761904762,7,0.974752345,76,0,60.66869281,1996.270073,wawmpfoo+other
39,NA,NA,NA,wawmpfoo+other,NA,0,0,0,NA,Other,1,43,1,299,23,0,12128,2822,3374,36.17948718,26.8,5.16,1,0.115875266,0.308291991,0.421686747,0.6,0.32,0.126,0.027639972,0.094613749,0.419206237,0.002012385,0.014894363,0.144492674,0.504252303,0.833333333,0.821705426,2,0.934786706,50,0,173.1969136,1995.659836,other
40,141,21,itun+other,spot+itun+other,FR,0,1,0,0,Europe,17,40,114,278,18,0,10897,3726,13874,66.53571429,10.81818182,1.181818182,0.254545455,0.259259259,0.510466989,0.698336017,0.2,0.12,0.07,0.084004294,0.320987654,0.84057971,0.010391213,0.083154771,0.577268179,0.073000537,0.323076923,0.815384615,1,0.978713262,55,0,142.7325175,2001.761905,other
41,NA,NA,NA,wawmpfoo+other,US,1,0,0,NA,Canada/US,1,66,1,457,29,0,7952,4487,12698,53.41666667,12.53246753,2.506493506,0.727272727,0.027412525,0.470470247,0.574102964,0.25,0.18,0.09,0.036104301,0.483619345,0.702473813,0.004918302,0.178692733,0.386710458,0.062402496,0.430051813,0.642487047,4,0.968753427,77,0,100.1922222,1997.943503,wawmpfoo+other
42,404,58,wawmpfoo+other,spot+wawmpfoo+other,HN,0,0,0,0.049079755,Other,1,66,1,458,25,0,9994,4722,24509,56.21428571,30.61842105,4.210526316,0.723684211,0.041507836,0.135324015,0.359381618,0.35,0.23,0.134,0.008894536,0.038331216,0.497882253,0.000801981,0.007870645,0.169124096,0.027742482,0.03125,0.871875,3,0.981355047,76,0,118.8525424,2003.144231,wawmpfoo+other
43,NA,NA,NA,NA,NA,0,0,0,NA,Other,1,1,2,3,24,0,0,85,85,14.16666667,15,9,3.5,0.164705882,0.270588235,0.517647059,0.1,0.06,0.026,0.094117647,0.235294118,0.482352941,0.021176471,0.055778547,0.171487889,1,1,0.527777778,2,0.938463023,4,0,138.0583333,1998,other
44,17,3,wawmpfoo+other,spot+wawmpfoo+other,BR,0,0,1,0.042910916,South America,1,66,1,457,25,0,12394,2472,18813,29.42857143,24.87272727,5,1.363636364,0.004449838,0.118122977,0.194579288,0.1,0.12,0.05,0.02710356,0.082928803,0.236245955,0.001926103,0.013892162,0.059839458,0.378640777,0.701818182,0.618181818,4,0.97583501,55,0,96.5229798,1974.947826,spot+wawmpfoo+other
45,105,15,wawmpfoo+other,spot+wawmpfoo+other,US,1,0,0,0.5,Canada/US,2,65,8,453,25,0,1427,288,4947,4.571428571,8.625,1.0625,0.75,0,0.034722222,0.180555556,0.05,0.03,0.014,0.083333333,0.371527778,0.559027778,0.012876157,0.122612847,0.19885706,0,0,0.764705882,2,0.986237409,16,0,78.99197531,1996,wawmpfoo+other
46,87,13,itun+other,spot+itun+other,BR,0,0,1,0.040462428,South America,1,66,1,456,20,0,17376,5540,27089,65.95238095,22.94736842,2.328947368,0.407894737,0.403971119,0.692599278,0.950361011,0.8,0.48,0.216,0.028519856,0.242057762,0.846028881,0.001993835,0.055178811,0.647142866,0.040794224,0.288135593,0.717514124,3,0.951913728,76,0.155234657,197.7751344,1996.497076,itun+other
47,NA,NA,NA,wawmpfoo+other,CA,1,0,0,NA,Canada/US,1,66,1,458,23,0,4794,1265,9906,15.05952381,13.31034483,1.465517241,0.568965517,0.021343874,0.211067194,0.505928854,0.2,0.14,0.072,0.015019763,0.124110672,0.238735178,0.001686638,0.023524817,0.063147995,0.47826087,0.423529412,0.894117647,2,0.986451734,58,0,67.08261649,1998.963415,wawmpfoo+other
48,NA,NA,NA,wawmpfoo+other,PL,0,1,0,NA,Europe,1,64,1,447,22,0,6416,4074,11218,50.2962963,28.63934426,3.475409836,0.93442623,0,0.012518409,0.065046637,0.05,0.03,0.034,0.017182131,0.144575356,0.409671085,0.001341891,0.02217795,0.124851755,0.135493373,0.363207547,0.844339623,2,0.986981997,61,0,108.2330426,2003.054545,wawmpfoo+other
49,NA,NA,NA,itun+other,US,1,0,0,NA,Canada/US,1,66,1,458,29,0,14168,8296,37620,98.76190476,75.07936508,8.73015873,1.841269841,0.012295082,0.06412729,0.295805207,0.25,0.24,0.188,0.004098361,0.048216008,0.330882353,0.000282694,0.004961001,0.084452319,0.00265188,0.009090909,0.867272727,2,0.982201668,63,0.446841851,341.0023551,1988.454918,itun+other
50,NA,NA,NA,wawmpfoo+other,CL,0,0,1,NA,South America,1,46,1,322,24,0,462,3748,17228,47.44303797,34.26153846,6.215384615,1.446153846,0.022145144,0.113127001,0.263607257,0.45,0.28,0.14,0.033884739,0.099786553,0.253201708,0.00153166,0.014656554,0.064799839,0.047758805,0.178217822,0.648514851,3,0.952169999,65,0.116862327,93.99480198,1982.906516,itun+other
51,NA,NA,NA,itun+other,NA,0,0,0,NA,Other,1,66,2,457,30,0,16105,4074,12883,48.5,53.81818182,23.4,4.254545455,0.011291114,0.074619539,0.174030437,0.45,0.3,0.208,0.014482081,0.043691703,0.256750123,0.000659859,0.003135898,0.056061536,0.201030928,0.454545455,0.466977467,5,0.951955825,55,0.002209131,195.5591837,2003.342453,itun+other
52,NA,NA,NA,itun+other,MX,0,0,0,NA,Other,1,66,3,457,25,0,4976,1371,14390,16.32142857,11.64615385,2.8,0.753846154,0,0.048140044,0.265499635,0.05,0.05,0.046,0.018234865,0.115973742,0.261123268,0.002041347,0.022093049,0.067845402,0.070021882,0.186813187,0.681318681,4,0.96377302,65,0.08242159,68.64369919,1993.635762,itun+other
53,NA,NA,NA,wawmpfoo+other,NA,0,0,0,NA,Other,1,66,1,458,24,0,29954,5093,25439,60.63095238,5.735294118,0.926470588,0.382352941,0.008442961,0.024936187,0.494207736,0.15,0.07,0.036,0.10524249,0.336344002,0.560966032,0.017442659,0.087284692,0.180068168,0.187904968,0.492063492,0.80952381,2,0.946819671,68,0,155.5020627,1995.737705,wawmpfoo+other
54,NA,NA,NA,itun+other,RU,0,0,0,NA,Other,1,65,1,453,23,1,16474,5327,32556,63.41666667,16.27848101,4.835443038,1.240506329,0.096677304,0.620048808,0.696452037,0.55,0.31,0.162,0.03472874,0.486390088,0.663788249,0.003768167,0.190179318,0.246064364,0.07903135,0.42408377,0.437172775,4,0.955079772,79,0,115.3764416,1996.669782,other
55,1,1,no_prior_usage,spot+wawmpfoo+other,FR,0,1,0,0.026274401,Europe,1,66,1,458,25,0,10946,2864,16313,34.0952381,6.692307692,4.256410256,0.769230769,0.021298883,0.074371508,0.204259777,0.2,0.15,0.118,0.060055866,0.122555866,0.445181564,0.00850863,0.015848103,0.144029573,0.117318436,0.171686747,0.692771084,4,0.988715008,78,0,66.36806167,1991.569182,spot+other
56,1,1,no_prior_usage,spot+wawmpfoo+other,PL,0,1,0,0.053756872,Europe,1,65,1,455,24,1,2044,823,7010,9.797619048,9.169491525,2.728813559,0.881355932,0,0.083839611,0.219927096,0.05,0.05,0.06,0.042527339,0.121506683,0.303766707,0.003848942,0.022666976,0.08589179,0.335358445,0.409937888,0.559006211,3,0.977592501,59,0,38.57804487,2000.360759,spot+wawmpfoo+other
57,117,17,no_prior_usage,spot+other,PL,0,1,0,0.05,Europe,17,66,117,456,26,1,3755,49,3910,0.924528302,11.5,3.25,1.75,0,0.020408163,0.081632653,0.05,0.02,0.008,0.081632653,0.489795918,0.571428571,0.022907122,0.164514786,0.219491878,0.142857143,0.230769231,0.615384615,1,0.956188314,4,0,49.24166667,1985.923077,other
58,335,48,wawmpfoo+other,spot+wawmpfoo+other,NL,0,1,0,0.108205486,Europe,1,66,1,458,31,0,21062,1683,12361,20.03571429,14.1038961,3.974025974,0.896103896,0.052881759,0.103980986,0.210338681,0.15,0.09,0.084,0.009506833,0.110516934,0.55258467,0.001325689,0.018510575,0.172668985,0.322043969,0.676470588,0.392156863,2,0.987305302,77,0,45.66539855,1987.96679,wawmpfoo+other
59,278,40,other,spot+wawmpfoo+other,NA,0,0,0,0.123172103,Other,17,64,113,445,NA,NA,1875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,no_prior_usage,spot+wawmpfoo,PL,0,1,0,0.028561597,Europe,1,66,1,456,25,1,5817,869,13091,10.46987952,15.2,6.725,1.9,0,0.01150748,0.039125432,0.05,0.03,0.046,0.032220944,0.132336018,0.347525892,0.002877532,0.021032601,0.095241942,0.262370541,0.643122677,0.293680297,2,0.980863302,40,0,67.03229167,2006.320313,spot+other
61,NA,NA,NA,other,UA,0,0,0,NA,Other,1,65,1,450,21,1,4040,3047,21752,36.71084337,26.26388889,2.458333333,0.472222222,0,0.14013784,0.467673121,0.05,0.09,0.05,0.028880866,0.215293732,0.689202494,0.001551775,0.041908255,0.290240881,0.114210699,0.412429379,0.689265537,4,0.985141635,72,0,86.05426829,1994.561728,other
62,NA,NA,NA,wawmpfoo+other,AU,0,0,0,NA,Other,1,65,1,450,20,1,7664,7991,26162,95.13095238,14.19178082,2.164383562,0.726027397,0.069327994,0.085095733,0.379176574,0.3,0.12,0.064,0.054686522,0.218746089,0.333500188,0.007475263,0.04676142,0.097463529,0.445501189,0.462025316,0.791139241,2,0.987124363,73,0,216.2167689,2001.608696,wawmpfoo+other
63,NA,NA,NA,wawmpfoo+other,RU,0,0,0,NA,Other,1,12,2,81,22,0,1906,3997,24641,47.58333333,26.77631579,2.842105263,0.736842105,0.01701276,0.043282462,0.070803102,0.1,0.08,0.04,0.015011258,0.082061546,0.359769827,0.001081935,0.012746175,0.094727225,0.213910433,0.152777778,0.925925926,3,0.826302388,76,0,66.05762082,1999.751412,wawmpfoo+other
64,436,63,wawmpfoo+other,spot+wawmpfoo+other,BR,0,0,1,0.071428571,South America,1,66,1,458,32,1,6812,1354,32004,18.05333333,14.4,1.666666667,0.466666667,0.037666174,0.099704579,0.225997046,0.1,0.07,0.044,0.043574594,0.319054653,0.609305761,0.00443786,0.08854011,0.238726984,0.288774003,0.333333333,0.493333333,5,0.978818986,45,0,77.7314346,1986.267606,other
65,392,56,itun+wawmpfoo+other,spot+itun+wawmpfoo+other,PL,0,1,0,0.101735776,Europe,1,66,1,458,26,0,15131,3340,19599,39.76190476,24.625,3.194444444,0.916666667,0.019161677,0.023952096,0.181437126,0.3,0.1,0.06,0.018562874,0.074850299,0.298502994,0.001150095,0.013511779,0.07403098,0.334131737,0.247826087,0.834782609,3,0.973827508,72,0,107.7001812,1991.835681,wawmpfoo+other
66,NA,NA,NA,itun+wawmpfoo+other,DE,0,1,0,NA,Europe,1,66,1,456,24,0,4237,1057,7890,12.58333333,9.818181818,1.924242424,0.681818182,0.180700095,0.280983917,0.425733207,0.25,0.12,0.058,0.033112583,0.21948912,0.471144749,0.003027973,0.042582271,0.135770092,0.097445601,0.417322835,0.590551181,5,0.954401203,66,0.105960265,49.48476563,1996.044643,itun+other
67,NA,NA,NA,other,PL,0,1,0,NA,Europe,1,66,1,458,19,1,12302,3006,5037,36.21686747,8.618421053,1.197368421,0.210526316,0.008982036,0.594810379,0.726214238,0.25,0.18,0.082,0.056220892,0.50665336,0.848636061,0.006275982,0.203516232,0.646265907,0.038589488,0.472527473,0.802197802,2,0.950298264,76,0,89.18342199,1990.877778,other
68,NA,NA,NA,wawmpfoo+other,BR,0,0,1,NA,South America,1,66,1,458,23,1,20175,6567,47500,78.17857143,46.22058824,5.176470588,0.823529412,0.051774022,0.346581392,0.717679306,0.3,0.39,0.282,0.013400335,0.164915487,0.621135983,0.000737406,0.024852843,0.314654635,0.061671996,0.207386364,0.801136364,3,0.980714365,68,0,258.3337838,1979.981873,wawmpfoo+other
69,NA,NA,NA,itun+other,CH,0,0,0,NA,Other,1,66,1,457,23,0,9848,2754,19106,32.78571429,17.33802817,2.23943662,0.422535211,0,0.010893246,0.044299201,0.05,0.02,0.022,0.016339869,0.11328976,0.683006536,0.001918646,0.02007221,0.320189977,0.118010167,0.150943396,0.842767296,6,0.957914894,71,0.009077705,82.68210594,2001.054054,itun+other
